user_id,tier,crawled
28089408,SILVER,0
28239803,SILVER,0
28319261,SILVER,0
28344206,SILVER,0
28345353,SILVER,0
28353766,SILVER,0
28361510,SILVER,0
28365837,SILVER,0
28381121,SILVER,0
28389767,BRONZE,0
28400184,SILVER,0
28412564,GOLD,0
28422942,SILVER,0
28426932,SILVER,0
28446729,SILVER,0
28456096,SILVER,0
28457006,BRONZE,0
28462146,SILVER,0
28465718,SILVER,0
28471476,BRONZE,0
28561128,SILVER,0
28570272,GOLD,0
28571070,SILVER,0
28590214,BRONZE,0
28599822,BRONZE,0
28610732,SILVER,0
28611719,SILVER,0
28665499,SILVER,0
28698427,BRONZE,0
28707658,SILVER,0
28723482,SILVER,0
28732000,SILVER,0
28737981,SILVER,0
28740754,SILVER,0
28747443,SILVER,0
28749517,SILVER,0
28758920,SILVER,0
28796741,SILVER,0
28817095,BRONZE,0
28832086,SILVER,0
28905005,SILVER,0
28956827,SILVER,0
28957854,SILVER,0
28959920,SILVER,0
28969058,SILVER,0
28996143,SILVER,0
29040208,SILVER,0
29163830,BRONZE,0
29178135,SILVER,0
29179561,SILVER,0
29199546,SILVER,0
29207770,SILVER,0
29211650,SILVER,0
29214454,SILVER,0
29222032,SILVER,0
29228506,SILVER,0
29234158,SILVER,0
29244610,SILVER,0
29259150,SILVER,0
29265575,SILVER,0
29281882,SILVER,0
29289651,SILVER,0
29315482,SILVER,0
29317809,SILVER,0
29352497,SILVER,0
29370094,SILVER,0
29372314,BRONZE,0
29380756,SILVER,0
29391249,SILVER,0
29400762,BRONZE,0
29415107,SILVER,0
29419123,SILVER,0
29425316,SILVER,0
29441054,SILVER,0
29449521,SILVER,0
29504202,SILVER,0
29520454,BRONZE,0
29530564,SILVER,0
29534855,SILVER,0
29537029,SILVER,0
29551106,GOLD,0
29575465,SILVER,0
29584898,SILVER,0
29620538,SILVER,0
29631774,SILVER,0
29634349,BRONZE,0
29635186,SILVER,0
29654135,BRONZE,0
29739905,SILVER,0
29760517,BRONZE,0
29770631,SILVER,0
29800595,SILVER,0
30012107,SILVER,0
30012452,SILVER,0
30025390,SILVER,0
30056700,SILVER,0
30060623,SILVER,0
30065408,SILVER,0
30075179,SILVER,0
30085820,SILVER,0
30097271,SILVER,0
30114857,SILVER,0
30179240,SILVER,0
30183664,SILVER,0
30214125,SILVER,0
30227129,SILVER,0
30251807,SILVER,0
30267088,SILVER,0
30271283,SILVER,0
30294279,SILVER,0
30299148,SILVER,0
30300839,SILVER,0
30311904,SILVER,0
30342442,SILVER,0
30355790,SILVER,0
30371984,SILVER,0
30375109,BRONZE,0
30380225,SILVER,0
30391069,SILVER,0
30415180,SILVER,0
30415442,SILVER,0
30419049,SILVER,0
30444075,GOLD,0
30454319,BRONZE,0
30493604,SILVER,0
30495090,SILVER,0
